Customer Age,Customer Gender,Product Purchased,Ticket Type,Ticket Subject,Ticket Status,Resolution,Ticket Priority,Ticket Channel,Customer Satisfaction Rating,First Response Delay (hrs),Resolution Time (hrs)
32,2,16,4,13,2,0,0,3,3,19236.26,21306.388055555555
42,0,21,4,10,2,0,0,0,3,17776.760555555556,21306.388055555555
48,2,10,4,8,0,343,2,3,3,25259.24388888889,25266.09388888889
27,0,25,0,0,0,2549,2,3,3,22327.494444444445,22321.96111111111
67,0,5,0,3,0,2657,2,1,1,29112.211666666662,29131.895
53,1,25,1,9,1,0,2,3,3,21273.225972222222,21306.388055555555
24,2,26,2,14,1,0,0,3,3,21273.225972222222,21306.388055555555
23,1,32,3,1,1,0,0,3,3,21273.225972222222,21306.388055555555
60,2,13,4,7,2,0,2,3,3,25210.546388888888,21306.388055555555
27,1,11,3,9,2,0,0,2,3,28377.43,21306.388055555555
48,1,30,1,3,0,1368,1,2,1,20729.780277777776,20711.863611111112
51,1,27,2,15,0,1366,1,0,1,14052.0975,14049.464166666668
27,2,31,4,6,2,0,2,0,3,17683.06472222222,21306.388055555555
65,2,28,4,13,2,0,2,0,3,25292.581666666665,21306.388055555555
48,0,38,0,13,0,1568,1,0,4,28518.381944444445,28511.14861111111
18,2,15,0,12,2,0,1,3,3,16983.165833333333,21306.388055555555
63,2,40,2,0,0,2044,0,0,4,14323.783055555556,14319.983055555556
56,0,27,2,9,2,0,1,0,3,23949.08361111111,21306.388055555555
19,1,22,2,10,1,0,1,3,3,21273.225972222222,21306.388055555555
39,0,9,3,15,0,2699,2,0,5,19560.76777777778,19580.48444444445
28,2,19,3,9,2,0,1,0,3,17549.13472222222,21306.388055555555
66,1,13,1,7,2,0,0,3,3,29111.951944444445,21306.388055555555
54,0,40,1,4,1,0,3,3,3,21273.225972222222,21306.388055555555
63,0,31,4,14,2,0,2,3,3,15945.1025,21306.388055555555
19,1,2,2,5,1,0,0,1,3,21273.225972222222,21306.388055555555
35,2,19,2,14,2,0,3,3,3,16723.036666666667,21306.388055555555
22,2,23,0,2,2,0,2,3,3,27020.036944444444,21306.388055555555
21,2,12,1,13,1,0,1,2,3,21273.225972222222,21306.388055555555
30,2,12,4,12,0,2177,0,2,5,26063.28805555556,26070.054722222223
67,1,40,1,2,0,831,3,2,1,21288.90472222222,21306.388055555555
